"IDTransakcji","DataSprzedazy","DataWysylki","IDKanalu","Ilosc","CenaJednostkowa","Rabat","KosztJednostkowy","ProduktSurowy","KlientSurowy","Region","StatusZamowienia","NotatkaTechniczna","Kanal","TypKanalu"
"T004498","12-06-26","15-06-26","K03","5","109.87","0.05","26.72","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0003  ;  VIP","Wschód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004499","22-07-26","25-07-26","K04","2","100.74","0.1","55.16","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0164  ;  Detal","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004500","2026-09-27","28-09-26","K02","1","200.00","0","128.38","P025 | Produkt szkoleniowy 25 | Komputery","Klient 0043  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T004501","2026-09-18","2026-09-19","K04","3","144.66","0.1","92.11","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0009  ;  B2B","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004502","13-10-25","18-10-25","K01","8","85.22","0.1","39.69","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0125  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004503","11-09-26","13-09-26","K03","15","97.50","0.2","24.45","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0319  ;  VIP","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004504","25-09-26","26-09-26","K03","11","97.81","0.05","55.92","P038 | Produkt szkoleniowy 38 | Elektronika","Klient 0220  ;  Detal","Południe","Anulowane","legacy_source","Partner","B2B / Partner"
"T004505","17-10-25","20-10-25","K02","2","103.15","0","61.20","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0232  ;  Detal","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004506","2026-08-25","2026-08-28","K01","3","61.47","0","29.96","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0111  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004507","2026-11-05","2026-11-09","K02","2","95.62","0.05","24.84","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0374  ;  B2C","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004508","18-12-25","22-12-25","K03","14","164.63","0.1","105.62","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0321  ;  B2B","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004509","30-06-25","06-07-25","K01","4","101.26","0","49.85","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0337  ;  B2B","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004510","04-11-26","08-11-26","K02","2","53.40","0.2","26.55","P027 | Produkt szkoleniowy 27 | Akcesoria","Klient 0460  ;  Detal","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004511","02-06-25","2025-06-03","K02","4","104.80","0.1","25.96","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0381  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004512","10-12-26","14-12-26","K04","5","110.58","0","63.86","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0182  ;  B2C","Północ","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T004513","29-12-26","02-01-27","K03","9","141.22","0.1","77.08","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0036  ;  Detal","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004514","20-07-26","24-07-26","K01","6","101.87","0","50.74","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0239  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004515","23-09-26","28-09-26","K01","2","103.96","0.1","47.07","P043 | Produkt szkoleniowy 43 | Akcesoria","Klient 0451  ;  VIP","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004516","14-12-26","2026-12-15","K02","3","160.18","0","93.61","P021 | Produkt szkoleniowy 21 | Komputery","Klient 0343  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004517","2026-12-18","21-12-26","K02","5","122.48","0.05","28.83","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0333  ;  B2B","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T004518","2025-09-13","16-09-25","K03","10","111.81","0.05","56.10","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0224  ;  Detal","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004519","20-10-25","2025-10-21","K01","9","130.21","0","33.65","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0193  ;  B2B","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T004520","2026-11-06","09-11-26","K04","6","84.78","0","46.48","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0347  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004521","10-12-26","2026-12-14","K02","7","129.17","0","33.55","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0148  ;  Detal","Północ","Zrealizowane","import_batch_02","Sklep","Retail"
"T004522","09-05-26","11-05-26","K02","2","118.87","0.1","64.57","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0321  ;  B2B","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T004523","26-03-25","2025-03-30","K02","4","110.18","0","70.48","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0013  ;  B2B","Północ","Zrealizowane","legacy_source","Sklep","Retail"
"T004524","31-10-25","01-11-25","K03","18","105.88","0.05","49.36","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0020  ;  Detal","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004525","2026-03-14","2026-03-19","K01","8","175.06","0","103.65","P025 | Produkt szkoleniowy 25 | Komputery","Klient 0432  ;  Detal","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004526","29-06-26","30-06-26","K03","14","218.12","0.1","137.21","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0244  ;  Detal","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004527","25-06-25","26-06-25","K03","4","158.37","0.05","101.50","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0117  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004528","08-10-26","15-10-26","K01","10","125.84","0","31.46","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0305  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004529","20-10-25","2025-10-24","K01","8","130.25","0","72.15","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0131  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004530","31-12-26","04-01-27","K03","8","94.87","0.1","22.27","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0453  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004531","02-05-26","04-05-26","K02","4","115.80","0.1","62.55","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0387  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004532","24-12-26","2026-12-26","K01","7","145.73","0","93.15","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0212  ;  Detal","Zachód","Anulowane","legacy_source","Online","E-commerce"
"T004533","03-11-26","06-11-26","K01","5","120.28","0","70.67","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0005  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004534","08-10-26","15-10-26","K01","7","84.88","0.1","20.55","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0359  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004535","30-09-26","2026-10-02","K04","2","124.62","0.05","73.47","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0349  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004536","31-07-25","01-08-25","K03","12","78.39","0.1","36.22","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0307  ;  VIP","Północ","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004537","26-07-26","30-07-26","K02","6","71.16","0","35.48","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0209  ;  B2B","Południe","Anulowane","legacy_source","Sklep","Retail"
"T004538","2026-08-17","19-08-26","K01","1","154.69","0.05","84.86","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0159  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004539","2026-09-11","15-09-26","K02","2","114.93","0","64.21","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0317  ;  B2B  ","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T004540","08-09-26","09-09-26","K01","6","134.65","0.1","32.79","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0021  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004541","2026-10-26","28-10-26","K01","8","71.08","0","34.68","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0095  ;  VIP","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T004542","06-11-26","12-11-26","K01","1","100.01","0.2","26.06","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0365  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004543","09-12-25","13-12-25","K01","8","113.62","0","63.31","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0441  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004544","01-12-26","2026-12-03","K02","6","98.68","0.05","49.40","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0264  ;  Detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004545","21-04-26","2026-04-24","K01","10","180.13","0.05","103.96","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0369  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004546","2026-08-05","09-08-26","K04","5","165.78","0.2","100.36","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0128  ;  Detal","Wschód","Anulowane","legacy_source","Telefon","Inside Sales"
"T004547","2026-09-29","02-10-26","K02","4","119.96","0.05","29.32","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0488  ;  Detal","Wschód","W realizacji","legacy_source","Sklep","Retail"
"T004548","17-11-25","18-11-25","K04","6","166.33","0.05","104.21","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0227  ;  VIP","Południe","Anulowane","import_batch_02","Telefon","Inside Sales"
"T004549","2025-09-02","2025-09-08","K01","2","106.68","0","26.43","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0411  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004550","06-10-25","2025-10-08","K04","6","101.37","0","61.00","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0125  ;  B2B","Północ","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004551","28-12-26","30-12-26","K03","9","115.86","0.1","30.10","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0463  ;  VIP","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004552","2026-05-01","05-05-26","K01","5","122.64","0.1","29.78","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0493  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004553","2026-09-11","15-09-26","K03","8","141.12","0.1","87.81","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0275  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004554","2026-11-03","04-11-26","K01","9","84.73","0","37.98","P031 | Produkt szkoleniowy 31 | Akcesoria","Klient 0376  ;  Detal","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004555","2025-10-31","04-11-25","K04","1","70.16","0.2","35.35","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0099  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004556","2026-10-12","14-10-26","K01","8","61.46","0","29.07","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0228  ;  Detal  ","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004557","2026-11-16","17-11-26","K03","15","97.09","0.1","58.21","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0270  ;  B2C","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004558","2026-10-20","25-10-26","K01","7","101.19","0.05","54.85","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0171  ;  VIP","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T004559","21-05-26","23-05-26","K02","1","92.28","0","55.70","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0385  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004560","06-04-26","08-04-26","K03","16","112.38","0.05","69.56","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0471  ;  VIP","Zachód","W realizacji","import_batch_02","Partner","B2B / Partner"
"T004561","2025-03-21","25-03-25","K03","8","81.19","0.1","45.33","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0217  ;  B2B","Północ","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004562","20-10-25","24-10-25","K02","3","172.27","0","103.71","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0137  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004563","2026-11-27","30-11-26","K02","2","72.31","0.1","36.34","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0276  ;  Detal","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T004564","13-08-26","16-08-26","K03","17","74.54","0.1","18.22","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0201  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004565","01-11-26","04-11-26","K01","5","85.17","0","51.43","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0111  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004566","07-07-26","2026-07-10","K01","9","120.17","0.05","76.75","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0476  ;  Detal","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004567","16-11-26","17-11-26","K01","7","120.08","0","72.25","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0219  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004568","23-05-25","2025-05-25","K02","2","73.92","0","17.91","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0015  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004569","01-05-26","07-05-26","K01","9","102.11","0","63.77","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0109  ;  B2B","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004570","12-11-25","2025-11-16","K01","6","67.34","0.1","31.58","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0211  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004571","2025-04-02","06-04-25","K01","9","72.06","0","18.86","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0475  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004572","30-10-25","31-10-25","K03","8","123.88","0.05","68.34","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0375  ;  VIP","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004573","23-12-25","27-12-25","K02","7","72.76","0.1","17.34","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0317  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004574","10-10-25","14-10-25","K02","6","67.00","0","31.64","P039 | Produkt szkoleniowy 39 | Akcesoria","Klient 0341  ;  B2B","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T004575","28-12-26","2026-12-30","K02","4","127.88","0.1","73.80","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0495  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T004576","16-10-26","18-10-26","K03","10","99.37","0.05","23.65","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0051  ;  VIP","Południe","W realizacji","legacy_source","Partner","B2B / Partner"
"T004577","06-04-26","07-04-26","K01","1","123.39","0","77.44","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0095  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004578","2026-09-07","11-09-26","K04","5","82.35","0.05","41.07","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0127  ;  VIP","Zachód","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T004579","03-06-26","07-06-26","K01","5","115.89","0.05","65.45","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0123  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004580","15-10-25","17-10-25","K02","6","193.32","0.1","112.03","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0438  ;  B2C","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004581","2026-10-19","21-10-26","K04","2","87.99","0.05","43.37","P031 | Produkt szkoleniowy 31 | Akcesoria","Klient 0047  ;  VIP","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T004582","02-10-26","04-10-26","K03","9","98.02","0.1","48.54","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0093  ;  B2B","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004583","20-11-26","23-11-26","K02","2","113.87","0","27.45","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0281  ;  B2B","Południe","W realizacji","legacy_source","Sklep","Retail"
"T004584","2025-09-10","12-09-25","K04","7","121.72","0","70.25","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0144  ;  Detal","Zachód","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T004585","27-05-26","2026-06-03","K01","4","144.56","0","84.54","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0413  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004586","30-11-26","02-12-26","K02","7","60.83","0.05","27.83","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0327  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004587","2026-11-18","21-11-26","K01","3","102.80","0","46.91","P035 | Produkt szkoleniowy 35 | Akcesoria","Klient 0343  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004588","10-03-26","17-03-26","K01","4","185.47","0.1","109.15","P041 | Produkt szkoleniowy 41 | Komputery","Klient 0317  ;  B2B  ","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004589","20-04-26","21-04-26","K02","4","112.66","0.05","29.04","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0041  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004590","2025-04-10","13-04-25","K01","9","124.63","0.1","30.32","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0317  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004591","23-04-26","30-04-26","K01","5","68.43","0.05","17.68","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0017  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004592","16-09-26","19-09-26","K03","9","148.41","0.05","93.31","P021 | Produkt szkoleniowy 21 | Komputery","Klient 0019  ;  VIP","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004593","02-11-26","2026-11-06","K01","1","99.62","0","47.56","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0395  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004594","31-10-25","03-11-25","K03","8","138.88","0.1","78.18","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0355  ;  VIP","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004595","08-11-26","10-11-26","K04","4","70.98","0.05","35.36","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0411  ;  VIP","Wschód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004596","2026-06-08","2026-06-14","K01","7","129.58","0.1","76.81","P021 | Produkt szkoleniowy 21 | Komputery","Klient 0287  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004597","2025-03-19","21-03-25","K01","7","98.16","0.05","56.90","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0100  ;  Detal","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004598","2026-08-06","10-08-26","K03","7","99.40","0.05","23.85","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0128  ;  Detal","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004599","2025-10-20","27-10-25","K01","2","106.74","0.05","61.98","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0175  ;  VIP","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004600","14-07-26","19-07-26","K01","3","127.40","0","72.32","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0303  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004601","2026-09-02","04-09-26","K02","3","102.32","0","61.25","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0011  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004602","08-11-26","12-11-26","K02","4","88.37","0","49.06","P038 | Produkt szkoleniowy 38 | Elektronika","Klient 0383  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T004603","05-01-26","08-01-26","K02","1","91.62","0.05","45.20","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0213  ;  B2B","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T004604","2025-11-18","20-11-25","K02","3","75.30","0","17.87","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0069  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004605","07-10-26","2026-10-11","K01","7","116.44","0","71.16","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0247  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004606","2026-08-07","2026-08-12","K01","7","143.78","0","83.58","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0069  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004607","2026-11-27","30-11-26","K01","6","128.36","0.05","75.78","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0326  ;  B2C","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004608","26-05-25","2025-05-30","K03","18","137.03","0.05","82.83","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0325  ;  B2B","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004609","14-09-26","18-09-26","K02","3","182.69","0.05","112.78","P025 | Produkt szkoleniowy 25 | Komputery","Klient 0285  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004610","2026-08-11","2026-08-15","K04","2","115.05","0.05","64.91","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0377  ;  B2B","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T004611","01-10-26","05-10-26","K01","5","122.48","0","70.37","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0065  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T004612","11-03-25","2025-03-15","K02","2","165.73","0","97.28","P025 | Produkt szkoleniowy 25 | Komputery","Klient 0208  ;  Detal","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004613","16-11-26","23-11-26","K01","4","77.67","0","38.43","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0303  ;  VIP","Południe","W realizacji","legacy_source","Online","E-commerce"
"T004614","03-07-26","06-07-26","K03","8","116.17","0.2","29.66","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0021  ;  B2B","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004615","24-08-26","31-08-26","K01","5","134.86","0.05","78.53","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0275  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004616","04-11-26","2026-11-08","K02","5","104.25","0","62.39","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0059  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T004617","16-11-26","18-11-26","K02","5","175.49","0.1","111.94","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0171  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T004618","16-11-26","18-11-26","K03","5","81.00","0.1","39.35","P039 | Produkt szkoleniowy 39 | Akcesoria","Klient 0081  ;  B2B","Wschód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T004619","29-08-26","02-09-26","K02","2","90.36","0.05","50.20","P038 | Produkt szkoleniowy 38 | Elektronika","Klient 0117  ;  B2B","Południe","W realizacji","legacy_source","Sklep","Retail"
"T004620","13-09-26","16-09-26","K03","17","163.30","0.1","103.95","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0299  ;  VIP","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T004621","22-12-26","2026-12-23","K01","10","109.75","0","28.06","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0202  ;  B2C","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004622","16-06-25","20-06-25","K02","7","88.10","0","22.51","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0256  ;  Detal","Południe","W realizacji","legacy_source","Sklep","Retail"
"T004623","04-12-26","2026-12-06","K01","6","96.02","0","48.20","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0445  ;  B2B","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T004624","27-04-26","01-05-26","K02","4","127.03","0.05","32.05","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0425  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004625","05-02-26","08-02-26","K02","7","89.52","0","43.35","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0479  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T004626","16-06-26","2026-06-20","K02","1","189.76","0.1","120.44","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0474  ;  B2C","Północ","W realizacji","import_batch_02","Sklep","Retail"
"T004627","11-09-26","13-09-26","K01","4","94.64","0.05","47.03","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0416  ;  Detal","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T004628","2026-12-23","2026-12-28","K01","1","114.67","0","71.89","P045 | Produkt szkoleniowy 45 | Komputery","Klient 0417  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T004629","18-08-25","22-08-25","K04","5","158.07","0","91.29","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0175  ;  VIP","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T004630","2025-12-05","09-12-25","K01","9","124.10","0.1","75.77","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0227  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T004631","28-11-26","01-12-26","K02","5","77.87","0","35.47","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0169  ;  B2B","Wschód","Anulowane","legacy_source","Sklep","Retail"
